Genus	G1CA	G1CB	G1CC	G1IA	G1IB	G1IC	G1P1A	G1P1B	G1P1C	G1P2A	G1P2B	G1P2C	G1SA	G1SC	G1STA	G1STC	G2CA	G2CB	G2CC	G2IA	G2IB	G2IC	G2P1A	G2P1B	G2P1C	G2P2A	G2P2B	G2P2C	G2SA	G2SC	G2STA	G2STB	G2STC	All
Terribacillus	0	0.0812	0	0	0.196	0.0037	0	0	0.00371	0	0.0631	0.0037	0	0.0185	0	0.00744	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Advenella	0	0	0	0	0.00739	0	0.00742	0	0	0.0111	0	0	0	0.0074	0.00738	0	0	0	0	14.2	0	0	0	0.0037	0	0	0	0	0.0037	0.0037	0	0	0	0.1
Aeromonas	0	0	0	0	0	0	0	0.0111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0037	0	0	0.0669	0	0	0	0	0	0	0.1
Aerococcus	0.00369	2.04	0.0222	0	0.0296	0	0	0.0148	0	0	3.13	0.0259	0.00742	0.0148	0.00369	0	0	0.0037	0.0148	0.0185	0	0	0	0.0037	0	0	0	0	0	0	0.241	0.0259	0.0111	0.1
Thermomonas	0	0	0	0	0.0037	0	0	0	0.0556	0	0.00743	0	0	0	0	0.00372	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Xenophilus	0.00738	0.00738	0	0	0	0	0	0	0.597	0	0	0.0037	0.00371	0	0	0	0	0	0	0	0	0	0.0185	0	0	0	0	0	0	0	0	0	0	0.1
Zhihengliuella	0.0111	0.0111	0	0.00371	0.0037	0	0.0148	0.00371	0	0.0591	0.0297	0	0	0	0.0111	0	0	0.0037	0	0	0	0	0.00371	0	0	0	0.0111	0.00744	0.0037	0.0111	0	0	0	0.1
Vitellibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0371	0	0	0	0	0	0	0	0	0	0	0.1
Acidovorax	0	0.00738	0.0222	0	0	0.0037	0	0.0111	0.108	0	0.0186	0.0148	0.156	0.0111	0.00369	0.00744	0.0037	0.0148	0.0148	0	0.0222	0.104	0.00742	0.226	0.0779	0.00371	0.026	0	0	0.599	0.00371	0	0.0334	0.1
Vasilyevaea	0	0	0	0	0	0	0	0	0.00742	0	0	0.0037	0	0	0	0.00372	0	0	0	0	0.0296	0	0.111	0.0037	0	0.1	0	0	0	0	0	0	0	0.1
Agromyces	0.114	0.0111	0	0.0334	0.0296	0.0074	0.00371	0.00371	0.0223	0	0	0	0	0.0037	0.0185	0.0149	0.0037	0	0	0.0927	0.0481	0	0.0111	0.0629	0	0.00371	0.00743	0.00372	0	0.189	0	0.0037	0	0.1
Singulisphaera	0	0	0	0	0	0	0	0	0	0	0	0	0.126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Solibacillus	0	0	0	0	0.0259	0	0	0	0	0	0.00371	0	0	0.0185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Alkanindiges	0.059	0.0111	0.0074	0	0.0037	0.0222	0	0	1.22	0.0037	0.00743	0.0037	0	0.0074	0.0295	0.0112	0	0	0	0	0	0	0	0.0037	0.0408	0	0	0.26	0	0.322	0	0.0037	0	0.1
Altererythrobacter	0	0	0	0	0	0	0	0	0.0408	0	0.00371	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
